eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor9,SemiMinor9,ErrorStrik,depth,depthError,magnitude,sigmaMagni,magnitudeT
5154,EMCA,1975,7,26,12,15,22.000000000000000,,48.700000000000003,49.399999999999999,,,,33.000000000000000,,4.000000000000000,,
5168,EMCA,1975,8,8,20,20,29.899999999999999,,79.379999999999995,41.850000000000001,,,,33.000000000000000,,4.000000000000000,,
5188,EMCA,1975,9,1,22,45,29.600000000000001,,83.549999999999997,43.700000000000003,,,,64.000000000000000,,4.100000000000000,,
5239,EMCA,1975,10,29,13,29,42.600000000000001,,87.250000000000000,49.950000000000003,,,,15.000000000000000,,4.000000000000000,,
5253,EMCA,1975,11,21,1,40,44.799999999999997,,79.109999999999999,41.659999999999997,,,,33.000000000000000,,4.000000000000000,,
5254,EMCA,1975,11,22,15,7,12.800000000000001,,79.950000000000003,41.100000000000001,,,,33.000000000000000,,4.300000000000000,,
5258,EMCA,1975,11,30,22,38,4.900000000000000,,79.299999999999997,42.799999999999997,,,,33.000000000000000,,4.600000000000000,,
5293,EMCA,1976,1,16,10,44,49.100000000000001,,69.209999999999994,40.079999999999998,,,,5.000000000000000,,4.400000000000000,,
5309,EMCA,1976,2,6,14,50,19.000000000000000,,53.000000000000000,47.299999999999997,,,,33.000000000000000,,4.000000000000000,,
5325,EMCA,1976,2,26,21,38,24.000000000000000,,69.079999999999998,39.780000000000001,,,,15.000000000000000,,4.100000000000000,,
5387,EMCA,1976,4,24,19,13,32.000000000000000,,51.600000000000001,41.299999999999997,,,,8.000000000000000,,4.600000000000000,,
5396,EMCA,1976,5,6,16,53,0.000000000000000,,81.329999999999998,42.009999999999998,,,,33.000000000000000,,5.000000000000000,,
5449,EMCA,1976,6,24,2,4,17.000000000000000,,80.599999999999994,46.700000000000003,,,,15.000000000000000,,4.000000000000000,,
5479,EMCA,1976,7,28,3,30,14.800000000000001,,80.329999999999998,41.759999999999998,,,,33.000000000000000,,4.000000000000000,,
5519,EMCA,1976,9,15,4,38,51.700000000000003,,79.400000000000006,42.700000000000003,,,,33.000000000000000,,4.000000000000000,,
5537,EMCA,1976,10,11,21,48,54.899999999999999,,79.280000000000001,40.799999999999997,,,,33.000000000000000,,4.400000000000000,,
5596,EMCA,1976,12,15,0,27,31.699999999999999,,85.000000000000000,48.829999999999998,,,,15.000000000000000,,4.500000000000000,,
5600,EMCA,1976,12,17,2,40,3.700000000000000,,78.810000000000002,41.159999999999997,,,,33.000000000000000,,5.000000000000000,,
5603,EMCA,1976,12,26,6,44,50.000000000000000,,84.329999999999998,48.969999999999999,,,,15.000000000000000,,4.000000000000000,,
5641,EMCA,1977,2,25,6,25,38.000000000000000,,56.399999999999999,40.299999999999997,,,,5.000000000000000,,4.400000000000000,,
5655,EMCA,1977,3,17,22,41,39.000000000000000,,80.099999999999994,46.299999999999997,,,,15.000000000000000,,4.500000000000000,,
5668,EMCA,1977,4,2,6,58,25.899999999999999,,71.900000000000006,41.299999999999997,,,,1.000000000000000,,4.200000000000000,,
5671,EMCA,1977,4,9,3,29,25.100000000000001,,73.079999999999998,41.100000000000001,,,,15.000000000000000,,5.200000000000000,,
5680,EMCA,1977,4,19,15,42,49.399999999999999,,85.900000000000006,46.600000000000001,,,,15.000000000000000,,4.000000000000000,,
5683,EMCA,1977,4,24,0,59,18.000000000000000,,54.789999999999999,40.039999999999999,,,,12.000000000000000,,4.300000000000000,,
5686,EMCA,1977,4,27,5,29,28.000000000000000,,82.400000000000006,47.899999999999999,,,,15.000000000000000,,4.000000000000000,,
5697,EMCA,1977,5,16,12,53,36.299999999999997,,79.549999999999997,40.700000000000003,,,,33.000000000000000,,4.500000000000000,,
5704,EMCA,1977,5,28,2,44,57.600000000000001,,81.700000000000003,45.399999999999999,,,,15.000000000000000,,4.500000000000000,,
5705,EMCA,1977,5,30,21,20,45.000000000000000,,81.799999999999997,44.100000000000001,,,,33.000000000000000,,4.500000000000000,,
5745,EMCA,1977,7,12,15,9,36.000000000000000,,80.799999999999997,47.299999999999997,,,,15.000000000000000,,4.500000000000000,,
5747,EMCA,1977,7,15,1,39,37.399999999999999,,86.719999999999999,48.820000000000000,,,,15.000000000000000,,4.000000000000000,,
5765,EMCA,1977,8,13,17,37,30.000000000000000,,54.700000000000003,39.719999999999999,,,,38.000000000000000,,4.200000000000000,,
5777,EMCA,1977,9,3,2,17,22.000000000000000,,69.129999999999995,39.659999999999997,,,,20.000000000000000,,4.400000000000000,,
5799,EMCA,1977,10,21,15,27,23.600000000000001,,79.400000000000006,42.200000000000003,,,,33.000000000000000,,4.200000000000000,,
5802,EMCA,1977,10,25,18,0,34.600000000000001,,79.000000000000000,40.909999999999997,,,,33.000000000000000,,4.700000000000000,,
5806,EMCA,1977,11,4,9,31,21.000000000000000,,79.379999999999995,41.780000000000001,,,,33.000000000000000,,4.100000000000000,,
5812,EMCA,1977,11,20,10,15,47.500000000000000,,81.310000000000002,44.250000000000000,,,,33.000000000000000,,4.200000000000000,,
5820,EMCA,1977,12,6,10,52,51.799999999999997,,69.700000000000003,41.560000000000002,,,,15.000000000000000,,4.900000000000000,,
5836,EMCA,1977,12,20,7,27,37.000000000000000,,69.200000000000003,39.700000000000003,,,,20.000000000000000,,5.000000000000000,,
5848,EMCA,1977,12,30,16,12,35.000000000000000,,81.049999999999997,44.359999999999999,,,,33.000000000000000,,4.100000000000000,,
5885,EMCA,1978,3,6,2,31,50.899999999999999,,79.159999999999997,40.759999999999998,,,,24.000000000000000,,4.300000000000000,,
5888,EMCA,1978,3,12,8,29,20.500000000000000,,79.980000000000004,41.890000000000001,,,,40.000000000000000,,5.300000000000000,,
5897,EMCA,1978,3,24,21,5,48.600000000000001,,78.579999999999998,42.880000000000003,,,,20.000000000000000,,7.000000000000000,,
5898,EMCA,1978,3,24,23,50,0.600000000000000,,78.650000000000006,42.859999999999999,,,,20.000000000000000,,4.400000000000000,,
5912,EMCA,1978,4,6,19,14,38.399999999999999,,74.900000000000006,41.560000000000002,,,,3.000000000000000,,4.100000000000000,,
5916,EMCA,1978,4,9,10,14,42.100000000000001,,79.549999999999997,41.200000000000003,,,,33.000000000000000,,4.200000000000000,,
5924,EMCA,1978,4,14,6,11,25.899999999999999,,75.349999999999994,41.180000000000000,,,,10.000000000000000,,5.000000000000000,,
5952,EMCA,1978,5,12,14,36,47.000000000000000,,82.000000000000000,43.460000000000001,,,,33.000000000000000,,4.000000000000000,,
5954,EMCA,1978,5,14,13,11,8.000000000000000,,79.349999999999994,41.680000000000000,,,,33.000000000000000,,4.200000000000000,,
5955,EMCA,1978,5,14,20,18,53.299999999999997,,74.950000000000003,42.680000000000000,,,,10.000000000000000,,4.200000000000000,,
5976,EMCA,1978,6,1,2,28,18.600000000000001,,74.500000000000000,42.159999999999997,,,,5.000000000000000,,4.100000000000000,,
6005,EMCA,1978,6,21,17,27,52.200000000000003,,79.250000000000000,41.600000000000001,,,,19.000000000000000,,4.700000000000000,,
